id,name,description,average_rating,price,num_reviews
1,"Nike: Arizona Wildcats Essential Logo Tee","<p>Get game day ready with this Arizona Wildcats Essential Logo T-shirt. This Nike tee features the team's logo on the front and a classic design. Finish any Arizona Wildcats cheer squad look with this must-have T-shirt.</p><ul><li>Material: 100% Cotton</li><li>Crew neck</li><li>Short sleeve</li><li>Screen print graphics</li><li>Tagless Collar</li><li>Officially licensed collegiate product</li><li>Style: DD7251-100</li></ul>",4.5,30.00,245
2,"Slam Arizona Wildcats Basketball Cover Short Sleeve","<p>Show your team spirit with this exclusive Slam Basketball Cover tee. Features a dynamic basketball-themed Arizona Wildcats graphic print. Perfect for game days or casual wear.</p><ul><li>Material: 90% Cotton,10% Polyester</li><li>Rib-knit collar</li><li>Regular fit</li><li>Screen printed design</li><li>Machine washable</li><li>Officially licensed product</li><li>Style: SL2023-456</li></ul>",4,32.50,178
3,"Black History Month Lift As We Climb Grey Short Sleeve","<p>Celebrate Black History Month with this commemorative tee. Features an inspirational 'Lift As We Climb' design with Arizona Wildcats branding.</p><ul><li>Material: 95% Cotton,5% Spandex</li><li>Modern fit</li><li>Moisture-wicking fabric</li><li>Special edition design</li><li>Comfort wash</li><li>Limited edition release</li><li>Style: BHM2023-789</li></ul>",3.5,35.00,156
4,"Black History Month Catface Black Short Sleeve","<p>A bold statement piece celebrating Black History Month. Features the iconic Wildcat logo reimagined with cultural elements.</p><ul><li>Material: 100% Premium Cotton</li><li>Athletic fit</li><li>Soft-touch printing</li><li>Custom artwork</li><li>Premium finish</li><li>Collector's edition</li><li>Style: BHM2023-101</li></ul>",5,34.00,203
5,"Uscape Arizona Wildcats Alumni Emblem Crewneck","<p>Pride meets comfort in this alumni-focused crewneck. Features an embroidered vintage-style Wildcats emblem.</p><ul><li>Material: 80% Cotton,20% Polyester</li><li>Classic fit</li><li>Brushed fleece interior</li><li>Embroidered details</li><li>Ribbed cuffs and hem</li><li>Premium construction</li><li>Style: USC456-789</li></ul>",4.5,55.00,167
6,"Colosseum Arizona Wildcats Atmosphere Swim Navy Shorts","<p>Hit the pool or beach in style with these official Wildcats swim shorts. Features quick-dry technology and team colors.</p><ul><li>Material: 100% Polyester</li><li>Elastic waistband</li><li>Mesh liner</li><li>Quick-dry fabric</li><li>Side pockets</li><li>UPF 50+ protection</li><li>Style: COL789-123</li></ul>",4,45.00,198
7,"Nike Womens Arizona A Wildcat Loose Short Sleeve","<p>Women's cut tee with a relaxed fit. Features a stylized 'A' logo and modern design elements.</p><ul><li>Material: 60% Cotton,40% Polyester</li><li>Loose fit</li><li>Dri-FIT technology</li><li>V-neck design</li><li>Curved hem</li><li>Moisture-wicking</li><li>Style: NK345-678</li></ul>",4.5,32.00,289
8,"Nike Arizona Wildcats Softball Stitch Cotton Long Sleeve","<p>Support the softball team with this comfortable long sleeve tee. Features embroidered details and classic design.</p><ul><li>Material: 100% Cotton</li><li>Standard fit</li><li>Ribbed cuffs</li><li>Embroidered logo</li><li>Double-needle stitching</li><li>Durable construction</li><li>Style: NK567-890</li></ul>",5,40.00,134
9,"Road To March Madness Tee","<p>Get ready to rep your team on the road to the Final Four with this epic 2025 March Madness T-shirt! Featuring a bold bracket design with all the top contenders, this tee is a must-have for any college hoops fan. Whether you're cheering courtside, hitting a watch party, or just showing off your love for the game on campus, this shirt keeps you in the center of the action. Don't miss your chance to celebrate the madness, grab yours now and wear it all the way to the championship!</p>",3.0,29.99,120
10,"Uscape Arizona Wildcats Badge Black Short Sleeve Shirt","<p>Show off your Wildcats pride with this lightweight and stylish black short sleeve shirt. Features a bold badge design and premium fabric for all-day comfort.</p><ul><li>Material: 100% Cotton</li><li>Classic fit</li><li>Screen print graphics</li><li>Machine washable</li><li>Style: USC789-101</li></ul>",4.0,29.99,95
11,"Uscape Arizona Wildcats Retro Lightweight Black Short Sleeve Shirt","<p>Celebrate the Wildcats with this retro-inspired lightweight shirt. Perfect for casual wear or game day.</p><ul><li>Material: 100% Cotton</li><li>Relaxed fit</li><li>Vintage design</li><li>Soft-touch fabric</li><li>Style: USC456-102</li></ul>",4.0,29.99,110
12,"Nike Arizona Wildcats Softball Field Cotton Shirt","<p>Support the Wildcats softball team with this comfortable and durable cotton shirt. Features a bold field-inspired design.</p><ul><li>Material: 100% Cotton</li><li>Standard fit</li><li>Screen print graphics</li><li>Machine washable</li><li>Style: NK890-123</li></ul>",4.5,35.00,140
13,"Nike Arizona Softball Cotton Shirt","<p>Cheer on the Wildcats softball team with this classic cotton shirt. Designed for fans who value comfort and style.</p><ul><li>Material: 100% Cotton</li><li>Regular fit</li><li>Embroidered logo</li><li>Durable stitching</li><li>Style: NK567-124</li></ul>",2.5,35.00,130
